"id";"fecha";"importe";"tipoPago";"concepto";"polizas.id";"companias.id";"nroRecibo";"fechaVencimiento"
4606;13/4/2010 00:00:00;326,70;"P";"CUOTA 3";1657;;3;
4607;10/12/2009 00:00:00;289,72;"P";"CUOTA 5";1217;;5;
4608;5/1/2010 00:00:00;289,72;"P";"CUOTA 6";1217;;6;
4610;13/4/2010 00:00:00;249,27;"P";"CUOTA 3";1593;;3;
4611;3/2/2010 00:00:00;235,00;"P";"CUOTA 6";1229;;6;
4612;10/3/2010 00:00:00;240,36;"P";"CUOTA 1";1594;;1;
4613;12/4/2010 00:00:00;240,36;"P";"CUOTA 2";1594;;2;
4614;15/4/2010 00:00:00;62,65;"P";"CUOTA 3";1578;;3;
4615;12/4/2010 00:00:00;59,91;"P";"CUOTA 9";1278;;9;
4616;30/4/2010 00:00:00;358,85;"P";"CUOTA 9";1625;;9;
4617;13/4/2010 00:00:00;108,41;"P";"CUOTA 3";1516;;3;
4618;13/4/2010 00:00:00;183,02;"P";"CUOTA 1";1771;;1;
4619;15/4/2010 00:00:00;263,70;"P";"CUOTA 1";1764;;1;
4620;15/4/2010 00:00:00;82,13;"P";"CUOTA 4";1490;;4;
4621;15/4/2010 00:00:00;134,94;"P";"CXUOTA 4";1496;;4;
4622;15/4/2010 00:00:00;101,05;"P";"CUOTA 10";1207;;10;
4623;21/4/2010 00:00:00;324,00;"P";"CUOTA 7";1402;;7;
4624;21/4/2010 00:00:00;64,01;"P";"CUOTA 4";1504;;4;
4625;21/4/2010 00:00:00;117,58;"P";"CUOTA 4";1505;;4;
4626;21/4/2010 00:00:00;145,63;"P";"CUOTA 4";1605;;4;
4627;21/4/2010 00:00:00;61,54;"P";"CUOTA 4";1495;;4;
4628;20/4/2010 00:00:00;73,08;"P";"CUOTA 1";1796;;1;
4629;23/4/2010 00:00:00;253,16;"P";"CUOTA 2";1671;;2;
4630;20/4/2010 00:00:00;136,11;"P";"CUOTA 8";1298;;8;
4631;20/4/2010 00:00:00;469,39;"P";"CUOTA 4";1507;;4;
4632;20/4/2010 00:00:00;98,50;"P";"CUOTA 7";1273;;7;
4633;20/4/2010 00:00:00;98,50;"P";"CUOTA 8";1273;;8;
4634;5/4/2010 00:00:00;261,92;"P";"CUOTA 1";1762;;1;
4635;3/5/2010 00:00:00;260,00;"P";"CUOTA 2";1762;;2;
4636;4/5/2010 00:00:00;141,69;"P";"CUOTA 3";1589;;3;
5163;19/7/2010 00:00:00;54,79;"P";"CUOTA 4";1863;;4;
4637;5/5/2010 00:00:00;136,50;"P";"CUOTA 4";1637;;4;
4638;28/4/2010 00:00:00;346,10;"P";"CUOTA 1";1723;;1;
4639;25/2/2010 00:00:00;344,89;"P";"CUOTA 5";1367;;5;
4640;26/3/2010 00:00:00;344,89;"P";"CUOTA 6";1367;;6;
4641;25/3/2010 00:00:00;246,52;"P";"CUOTA 3";1522;;3;
4642;28/4/2010 00:00:00;246,52;"P";"CUOTA 4";1522;;4;
4643;25/3/2010 00:00:00;291,70;"P";"CUOTA 1";1768;;1;
4644;28/4/2010 00:00:00;291,70;"P";"CUOTA 2";1768;;2;
4645;28/4/2010 00:00:00;392,48;"P";"CUOTA 1";1766;;1;
4646;25/3/2010 00:00:00;390,44;"P";"CUOTA 6";1340;;6;
4647;28/4/2010 00:00:00;154,00;"P";"CUOTA 5";1468;;5;
4648;28/4/2010 00:00:00;327,44;"P";"CUOTA 7";1377;;7;
4649;28/4/2010 00:00:00;132,16;"P";"CUOTA 4";1676;;4;
4650;28/4/2010 00:00:00;149,38;"P";"CUOTA 4";1636;;4;
4651;28/4/2010 00:00:00;541,00;"P";"CUOTA 9";1228;;9;
4652;28/11/2009 00:00:00;188,46;"P";"CUOTA 1";1390;;1;
4653;27/12/2009 00:00:00;188,46;"P";"CUOTA 2";1390;;2;
4654;28/1/2010 00:00:00;188,46;"P";"CUOTA 3";1390;;3;
4655;25/2/2010 00:00:00;188,46;"P";"CUOTA 4";1390;;4;
4656;29/3/2010 00:00:00;188,46;"P";"CUOTA 5";1390;;5;
4657;3/5/2010 00:00:00;188,46;"P";"CUOTA 6";1390;;6;
4658;6/4/2010 00:00:00;274,98;"P";"CUOTA 1";1769;;1;
4659;3/5/2010 00:00:00;274,98;"P";"CUOTA 2";1769;;2;
4660;6/4/2010 00:00:00;319,51;"P";"CUOTA 3";1559;;3;
4661;6/4/2010 00:00:00;220,77;"P";"CUOTA 4";1525;;4;
4662;3/5/2010 00:00:00;220,77;"P";"CUOTA 5";1525;;5;
4663;6/4/2010 00:00:00;134,00;"P";"CUOTA 4";1524;;4;
4664;3/5/2010 00:00:00;134,00;"P";"CUOTA 5";1524;;5;
4665;5/3/2010 00:00:00;86,20;"P";"CUOTAQ 2";1675;;2;
4666;6/4/2010 00:00:00;86,20;"P";"CUOTA 3";1675;;3;
4667;3/5/2010 00:00:00;86,20;"P";"CUOTA 4";1675;;4;
4668;17/3/2010 00:00:00;192,69;"P";"CUOTA 3";1476;;3;
4669;5/5/2010 00:00:00;192,69;"P";"CUOTA 4";1476;;4;
4670;6/5/2010 00:00:00;196,89;"P";"CUOTA 2";1653;;2;
4671;8/4/2010 00:00:00;141,69;"P";"CUOTA 3";1562;;3;
4672;6/5/2010 00:00:00;141,69;"P";"CUOTQA 4";1562;;4;
4673;6/5/2010 00:00:00;211,00;"P";"CUOTA 4";1568;;4;
4674;9/3/2010 00:00:00;211,00;"P";"CUOTA 2";1568;;2;
4675;6/5/2010 00:00:00;192,38;"P";"CUOTA 1";1738;;1;
4676;5/11/2009 00:00:00;168,00;"P";"CUOTA 7";1065;;7;
4677;3/12/2009 00:00:00;168,00;"P";"CUOTA 8";1065;;8;
4678;5/1/2010 00:00:00;168,00;"P";"CUOTA 9";1065;;9;
4679;4/3/2010 00:00:00;168,00;"P";"CUOTA 11";1065;;11;
4680;16/3/2010 00:00:00;259,88;"P";"CUOTA 3";1478;;3;
4681;7/5/2010 00:00:00;259,88;"P";"CUOTA 4";1478;;4;
4682;7/5/2010 00:00:00;259,88;"P";"CUOTA 5";1478;;5;
4683;3/5/2010 00:00:00;319,51;"P";"CUOTA 4";1559;;4;
